route_type,decision_type,kind,reason_name,position,requires_explanation,audience
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,decline,Client has another housing option,0,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,decline,Client won't be eligible based on funding source,1,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,decline,Client won't be eligible for housing type,2,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,decline,Client won't be eligible for services,3,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,decline,Other,4,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Client deceased,0,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Client has declined match,1,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Client has disappeared,2,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Client has disengaged,3,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,HSP CORI,6,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Incarcerated,7,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Match expired,8,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,SSP CORI,9,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Vacancy filled by other client,10,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Vacancy should not have been entered,11,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationDndStaff,cancel,Other,12,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,decline,Client has another housing option,0,true,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,decline,Client refused unit (non-SRO),1,true,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,decline,Client refused voucher,2,true,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,decline,Does not agree to services,3,true,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,decline,Does not want housing at this time,4,true,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,decline,Unsafe environment for this person,5,true,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,decline,Unwilling to live in SRO,6,true,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,decline,Unwilling to live in that neighborhood,7,true,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,decline,Other,8,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Client deceased,0,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Client has declined match,1,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Client has disappeared,2,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Client has disengaged,3,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,HSP CORI,6,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Incarcerated,7,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Match expired,8,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,SSP CORI,9,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Vacancy filled by other client,10,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Vacancy should not have been entered,11,false,
MatchRoutes::Default,MatchDecisions::MatchRecommendationShelterAgency,cancel,Other,12,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Client has another housing option,0,true,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Client refused unit (non-SRO),1,true,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Client refused voucher,2,true,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Does not agree to services,3,true,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Does not want housing at this time,4,true,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Health and Safety,5,true,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Unsafe environment for this person,6,true,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Unwilling to live in SRO,7,true,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,decline,Unwilling to live in that neighborhood,8,true,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Client deceased,0,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Client has declined match,1,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Client has disappeared,2,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Client has disengaged,3,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,HSP CORI,6,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Incarcerated,7,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Match expired,8,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,SSP CORI,9,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Vacancy filled by other client,10,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Vacancy should not have been entered,11,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Other,12,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client deceased,0,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client has declined match,1,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client has disappeared,2,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client has disengaged,3,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client received another housing opportunity,5,false,
